"region";"vekst";"Jordbruksareal 1969";"Jordbruksareal 1979";"Jordbruksareal 1989";"Jordbruksareal 1999";"Jordbruksareal 2000";"Jordbruksareal 2001";"Jordbruksareal 2002";"Jordbruksareal 2003";"Jordbruksareal 2004";"Jordbruksareal 2005";"Jordbruksareal 2006";"Jordbruksareal 2007";"Jordbruksareal 2008";"Jordbruksareal 2009";"Jordbruksareal 2010";"Jordbruksareal 2011";"Jordbruksareal 2012";"Jordbruksareal 2013";"Jordbruksareal 2014";"Jordbruksareal 2015";"Jordbruksareal 2016";"Jordbruksareal 2017"
"1266 Masfjorden";"Jordbruksareal i drift";7775;7425;7488;7932;8011;7846;8254;8184;7954;7526;7422;6872;7139;7166;6839;6707;6623;6574;6853;6711;6822;7052
"1401 Flora";"Jordbruksareal i drift";20441;19496;16968;19636;20207;20368;19610;19101;18267;18314;18051;18080;18660;18845;18633;18618;17897;18649;18274;18482;18291;18325
"1411 Gulen";"Jordbruksareal i drift";20895;17241;17963;20741;20734;20354;20311;19805;19835;19389;19304;20433;19859;19584;19501;19297;19593;19166;18995;18967;18430;18541
"1412 Solund";"Jordbruksareal i drift";4780;3444;2717;3051;3063;3579;3412;3388;3439;3447;3455;3760;3675;3736;3547;3288;3005;3020;3505;3417;3403;3769
"1413 Hyllestad";"Jordbruksareal i drift";15122;13412;12682;11352;11877;12032;11905;11645;11316;10207;10168;9682;9339;8846;8741;8645;8737;8482;8405;8255;8120;8268
"1416 Høyanger";"Jordbruksareal i drift";15042;13238;12914;12012;12145;12431;12363;12139;12219;11682;11403;11200;11061;11089;10825;10583;10442;10386;10392;10316;10066;10251
"1417 Vik";"Jordbruksareal i drift";13928;14494;15491;22185;22835;23209;23429;23372;24095;23519;23281;22877;23352;23260;22941;23027;22852;22775;22736;22681;22674;22594
"1418 Balestrand";"Jordbruksareal i drift";10900;9793;10691;10274;5649;5667;5630;5390;5287;4931;5002;4848;4864;4771;4979;4835;4665;4873;4737;4744;4554;4514
"1419 Leikanger";"Jordbruksareal i drift";10889;9052;9310;4684;4761;4729;4550;4506;4445;4428;4273;3896;3171;3355;3127;3159;2935;2730;2783;2753;2717;2836
"1420 Sogndal";"Jordbruksareal i drift";18852;18469;19198;20092;25294;25490;25689;26054;26304;26400;25840;25709;25733;25378;25343;25225;22641;22850;22943;23095;23064;23042
"1421 Aurland";"Jordbruksareal i drift";7867;7681;6958;7294;7348;7306;7261;7057;7055;7134;7191;7250;7472;7471;7635;7556;7661;7498;7256;7269;7127;7477
"1422 Lærdal";"Jordbruksareal i drift";12132;12551;12809;12846;12905;12911;12997;12882;12715;12751;12573;12583;12676;12639;12727;12766;12876;12733;12657;12499;12662;12792
"1424 Årdal";"Jordbruksareal i drift";2163;1609;1435;1414;1347;1320;1317;1269;1021;1068;1170;1140;1106;1167;1196;1240;1150;1050;1029;1048;1125;1263
"1426 Luster";"Jordbruksareal i drift";38220;35218;35594;37714;38040;38204;37970;38166;37923;37606;37235;37423;37553;37709;37785;37853;37370;37884;37174;37851;37793;38107
"1428 Askvoll";"Jordbruksareal i drift";17776;17900;18973;21343;21108;21283;20922;20979;20696;20072;20144;19854;19745;19157;19617;19543;19514;19061;19404;19487;19416;19686
"1429 Fjaler";"Jordbruksareal i drift";23310;21881;22561;21148;20676;21359;21571;21345;21393;20710;21272;21101;21001;20068;19769;19444;17958;18105;17967;17694;17263;17702
"1430 Gaular";"Jordbruksareal i drift";25177;24941;26151;29283;30583;30499;30037;30463;29992;29482;29391;29416;29487;29130;27286;27169;27022;27222;26678;26888;26446;26327
"1431 Jølster";"Jordbruksareal i drift";24716;25225;25506;27313;27171;27140;27170;26919;27069;27013;26810;26901;26715;26341;26230;25894;25483;25533;25603;25681;25231;25016
"1432 Førde";"Jordbruksareal i drift";21920;20133;20993;21578;21629;21730;21643;21836;21917;21398;21102;21255;21050;20694;20483;20552;20820;20834;20818;20612;20618;20837
